Hafta,Sayı,Ay

2018-01-07,90,1
2018-01-14,95,1
2018-01-21,78,1
2018-01-28,83,1
2018-02-04,84,2
2018-02-11,82,2
2018-02-18,76,2
2018-02-25,77,2
2018-03-04,87,3
2018-03-11,75,3
2018-03-18,76,3
2018-03-25,77,3
2018-04-01,72,4
2018-04-08,62,4
2018-04-15,63,4
2018-04-22,65,4
2018-04-29,75,4
2018-05-06,76,5
2018-05-13,67,5
2018-05-20,82,5
2018-05-27,80,5
2018-06-03,79,6
2018-06-10,73,6
2018-06-17,100,6
2018-06-24,77,6
2018-07-01,79,7
2018-07-08,78,7
2018-07-15,84,7
2018-07-22,87,7
2018-07-29,75,7
2018-08-05,68,8
2018-08-12,64,8
2018-08-19,71,8
2018-08-26,69,8
2018-09-02,83,9
2018-09-09,77,9
2018-09-16,70,9
2018-09-23,71,9
2018-09-30,71,9
2018-10-07,66,10
2018-10-14,63,10
2018-10-21,61,10
2018-10-28,65,10
2018-11-04,59,11
2018-11-11,62,11
2018-11-18,65,11
2018-11-25,56,11
2018-12-02,61,12
2018-12-09,57,12
2018-12-16,55,12
2018-12-23,56,12
2018-12-30,54,12
